row_id,chemical_group,observed_pIC50,chemical_weight,mean,nearest_neighbor,rf_descriptors,rf_retrospective_index
ACT-0094,CHEM-79282acfeb90c1c9,6.832682665,1.0,7.259840336268868,7.838631998,7.107818429024997,6.888025411662495
ACT-0095,CHEM-4e4b06611b4e2190,6.313363731,1.0,6.981637551727273,6.844663963,6.802640860595834,6.374033643562493
ACT-0097,CHEM-b9d594eb84afc77f,6.899629455,1.0,6.981637551727273,6.844663963,6.872290644741669,6.8832773283125
ACT-0098,CHEM-ec75515084ae8ed9,6.446116973,1.0,6.981637551727273,6.634512015,6.744167456337503,6.425087515224995
ACT-0099,CHEM-62c41d2138273056,6.521433504,1.0,7.374192064630209,7.54515514,7.420989682284377,6.482353516162499
ACT-0100,CHEM-0d0e50504fb621a1,7.368556231,1.0,7.24040964179717,7.402304814,7.5736413318375,7.382490489962497
ACT-0101,CHEM-c8b4d8b105d66b9d,7.402304814,1.0,7.242218865080953,7.368556231,7.40576795554198,7.3712951579249975
ACT-0102,CHEM-16a4de1d344ed98d,7.173925197,1.0,7.259840336268868,7.402304814,7.196456979874999,7.2114021706499996
ACT-0103,CHEM-c819110f37447e94,7.315154638,1.0,6.981637551727273,7.402304814,6.883882763060832,7.3522963913499995
ACT-0104,CHEM-1e4df3d061025532,7.136082623,1.0,6.981637551727273,7.402304814,7.443667422965417,7.1550490175874994
ACT-0105,CHEM-3bcece6d17e73b25,7.460923901,1.0,6.981637551727273,7.368556231,7.185629090212499,7.480315065537499
ACT-0106,CHEM-ef3ced69f7e42e26,7.677780705,1.0,6.981637551727273,7.829738285,6.942302057334166,7.7075042451874936
ACT-0107,CHEM-9822352de6a3cbee,8.175223538,1.0,6.981637551727273,7.402304814,6.577466137300003,7.950686987562501
ACT-0108,CHEM-f2c47945fc27d48c,7.220403509,1.0,7.24040964179717,7.226945307,7.037990979237499,7.182148172175003
ACT-0109,CHEM-42bc827f1065674c,7.559090918,1.0,6.981637551727273,7.402304814,7.5745602883212495,7.5134525741374985
ACT-0110,CHEM-51ed3631b5a5caa1,7.226945307,1.0,6.981637551727273,7.220403509,7.215111252774996,7.207088583862498
ACT-0111,CHEM-bc27b6bb09e9737d,7.568636236,1.0,6.981637551727273,7.402304814,6.708530866012498,7.529950276925002
ACT-0112,CHEM-77a5a4cd38f10001,7.395773947,0.5,6.981637551727273,6.832682665,6.935288561137503,7.376017387312499
